ISO3_Code,Country,"Is Complain handling mechanism / Citizen Reporting / Grievance redressal mechanism / Corruption reporting available (Yes, No)",Brief Description,Link
ROU,Romania,Yes,National Integrity Agency,https://avertizori.integritate.eu/?_gl=1%2Ay2te62%2A_ga%2ANTQzNjQ4MDU5LjE3NjEwNDk1OTE.%2A_ga_4GQ9YTR59X%2AczE3NjEwNDk1OTAkbzEkZzEkdDE3NjEwNDk4NDgkajI2JGwwJGgw
ROU,Romania,Yes,National Anti-Corruption Directorate,https://www.dna.ro/sesizare.xhtml
RUS,Russian Federation,Yes,Presidential Directorste for Correspondence from Citizens and Organizations,https://en.letters.kremlin.ru/
RUS,Russian Federation,Yes,Russian Government,https://pos.gosuslugi.ru/landing
RUS,Russian Federation,Yes,Prosecutor general office,https://epp.genproc.gov.ru/web/gprf/internet-reception
RUS,Russian Federation,Yes,Investigative Committee,https://sledcom.ru/reception
SAU,Saudi Arabia,Yes,Nazaha,https://sdaia.gov.sa/en/Contact/Pages/Nazaha.aspx
SAU,Saudi Arabia,Yes,General Authority of Civil Aviation,https://gaca.gov.sa/en/Helping-And-Support/Whistleblowing-channel#
SVK,Slovakia,Yes,Ministry of Justice,https://www.justice.gov.sk/ministerstvo/protikorupcna-linka/
SVK,Slovakia,Yes,Whistleblower protection office,https://www.oznamovatelia.sk/en/chcem-oznamit
SVN,Slovenia,Yes,Commission for the Prevention of Corruption,https://www.kpk-rs.si/en/commissions-activities/report-corruption
SVN,Slovenia,Yes,Bank of Slovenia,https://www.bsi.si/en/services-for-individuals/reporting-of-breaches-whistleblowing-at-banks-and-other-entities-supervised-by-banka-slovenije
SVN,Slovenia,Yes,E-government ,https://e-uprava.gov.si/si/podrocja/drzava-druzba/inspekcijski-postopki/zascita-prijaviteljev.html?lang=si
SVN,Slovenia,Yes,Office of the Republic of Slovenia for the Prevention of Money Laundering,https://www.gov.si/zbirke/storitve/sporocanje-podatkov-uradu/
ZAF,South Africa,Yes,National Anti-Corruption Hotline,https://www.gov.za/anti-corruption/hotlines
ZAF,South Africa,Yes,National Prosecuting Authority,https://www.npa.gov.za/complaints
ZAF,South Africa,Yes,Public Protector of South Africa,https://www.pprotect.org/
ZAF,South Africa,Yes,Reserve bank of South Africa,https://www.resbank.co.za/en/home/contact-us/whistleblowing
ESP,Spain,Yes,Council for Transparency,https://consejodetransparencia.es/en/reclamaciones/como_reclamar
ESP,Spain,Yes,The Bank of Spain,https://bde-canalinterno.integrityline.com
ESP,Spain,Yes,Protection of informants,https://www.proteccioninformante.gob.es/login
SWE,Sweden,Yes,Prosectution Authority,https://www.aklagare.se/om-oss/kontakta-oss/aklagarkammare/riksenheten-mot-korruption/
SWE,Sweden,Yes,Prosectution Authority,https://www.aklagare.se/om-oss/kontakta-oss/aklagarkammare/
SWE,Sweden,Yes,Ombudsman,https://www.jo.se/en/how-to-complain/complaint-form/
SWE,Sweden,Yes,Ministry of foreign affairs,https://www.government.se/government-of-sweden/ministry-for-foreign-affairs/complaints-against-the-swedish-foreign-service/
SWE,Sweden,Yes,FInancial intelligence unit,https://www.fi.se/en/bank/money-laundering/process--work-method/reporting-to-the-financial-intelligence-unit/
SWE,Sweden,Yes,Competition authority,https://www.konkurrensverket.se/tipsa-oss/
SWE,Sweden,Yes,Police,https://polisen.se/utsatt-for-brott/polisanmalan/bedrageri/
CHE,Switzerland,Yes,Audit Office,https://www.bkms-system.ch/bkwebanon/report/clientInfo?cin=5efk11&c=-1&language=eng
CHE,Switzerland,Yes,goAML online portal ,https://www.fedpol.admin.ch/fedpol/en/home/kriminalitaet/geldwaescherei/meldung.html
CHE,Switzerland,Yes,"Swiss Financial Market Supervisory Authority (FINMA)",https://www.finma.ch/en/finma/making-a-report/
CHE,Switzerland,Yes,Federal Data Protection and Information Commissioner (FDPIC),https://www.edoeb.admin.ch/en/reporting-portals
CHE,Switzerland,Yes,Banking Ombudsman,https://bankingombudsman.ch/en/written-enquiries/
TUR,Türkiye,Yes,Ombudsman,https://ebasvuru.ombudsman.gov.tr/
TUR,Türkiye,Yes,CIMER (Presidential Communication Center),https://www.cimer.gov.tr/
TUR,Türkiye,Yes,Council of Ethics for Public Officials (Kamu Görevlileri Etik Kurulu),https://www.etik.gov.tr/basvuru/basvuru-sartlari/
UKR,Ukraine,Yes,Unified whistleblowing channel,https://whistleblowers.nazk.gov.ua/#/
UKR,Ukraine,Yes,National Anti-Corruption Bureau (NABU),https://nabu.gov.ua/en/kontakty/
UKR,Ukraine,Yes,Asset Recovery and Management Agency (ARMA),https://arma.gov.ua/en/contacts
UKR,Ukraine,Yes,Ministry for Internal Affairs,https://mvs.gov.ua/en/activity/prevention-corruption
UKR,Ukraine,Yes,Ministry of Energy,"https://mev.gov.ua/en/storinka/report-corruption-offense#:~:text=Such%20a%20report%20must%20include,nazk.gov.ua%2F."
UKR,Ukraine,Yes,Foreign Intelligence Service of Ukraine,https://szru.gov.ua/en/contacts/report-corruption
UKR,Ukraine,Yes,State Tax Service of Ukraine,https://tax.gov.ua/en/mass-media/anticorruption-activitiy/416224.html
UKR,Ukraine,Yes,"Ministry of Social Policy, Family and Unity",https://www.msp.gov.ua/en/about/diyalnist/zapobihannya-koruptsiyi
GBR,United Kingdom,Yes,The Director of the Serious Fraud Office,https://sforeporting.egressforms.com/
GBR,United Kingdom,Yes,National Crime Agency (NCA) ,https://www.nationalcrimeagency.gov.uk/contact-us/provide-information-on-serious-and-organised-crime
GBR,United Kingdom,Yes,National Crime Agency internal corruption reporting,https://www.nationalcrimeagency.gov.uk/what-we-do/crime-threats/bribery-corruption-and-sanctions-evasion/how-to-report-international-bribery-and-corruption
GBR,United Kingdom,Yes,Financial Conduct Authority,https://www.fca.org.uk/firms/whistleblowing
GBR,United Kingdom,Yes,International Corruption Unit ,https://www.nationalcrimeagency.gov.uk/what-we-do/crime-threats/bribery-corruption-and-sanctions-evasion/how-to-report-international-bribery-and-corruption
GBR,United Kingdom,Yes,National Audit Office (NAO),https://www.nao.org.uk/about-us/contact-us/whistleblowing/guidance-for-whistleblowers/
GBR,United Kingdom,Yes,The Bank of England,https://www.bankofengland.co.uk/whistleblowing
GBR,United Kingdom,Yes,Commissioner for HM Revenue and Customs (HMRC),https://www.gov.uk/report-tax-fraud
GBR,United Kingdom,Yes,Financial Reporting Coucil (FRC) ,https://www.frc.org.uk/complaints/making-complaints-or-referrals-to-the-frc-overview/
GBR,United Kingdom,Yes,Competition and Markets Authority,https://www.gov.uk/guidance/tell-the-cma-about-a-competition-or-market-problem
GBR,United Kingdom,Yes,NHS Counter Fraud Agency,https://cfa.nhs.uk/report-fraud/how-to-report-fraud
GBR,United Kingdom,Yes,National Fraud and Cyber Crime Reporting Centre,https://www.actionfraud.police.uk/
USA,United States,Yes,Sectoral Department of Justice,https://oig.justice.gov/hotline/submit_complaint
USA,United States,Yes,Sectoral Department of Labor,https://www.whistleblowers.gov/complaint_page
USA,United States,Yes,Department of Justice,https://www.justice.gov/criminal/criminal-division-corporate-whistleblower-awards-pilot-program
USA,United States,Yes,Federal Bureau of Investigation,https://tips.fbi.gov/home
USA,United States,Yes,Council of the Inspectors General on Integrity and Efficiency (CIGIE),https://www.oversight.gov/where-report-fraud-waste-abuse-or-retaliation
USA,United States,Yes,Office of Special Counsel (OSC),https://osc.gov/Pages/File-Complaint-Portal.aspx
URY,Uruguay,Yes,National Secretariat for the Fight against Money Laundering and the Financing of Terrorism ,https://www.gub.uy/secretaria-nacional-lucha-contra-lavado-activos-financiamiento-terrorismo/comunicacion/publicaciones/buenas-practicas-para-reporte-operaciones-sospechosas
URY,Uruguay,Yes,Government of Uruguay,https://www.gub.uy/tramites/junta-transparencia-etica-publica-denuncia-nominada
URY,Uruguay,Yes,Government reporting ,https://www.gub.uy/tramites/recepcion-denuncias
